Data;Nome do evento;Local;Tipo de evento;Tipo de testagem;Tipo de Intervenção;Tamanho estimado (faixa);Tamanho estimado (numero inteiro);no. de pessoas que pegaram o contato (publico de interesse);12/31/2021;nº de pessoas de deram o contatos (público de interesse)
12/22/2021;Viajar com a PrEP;Tik Tok;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;;475;503;
12/24/2021;POV PrEP;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;3699;3681;3023;
12/24/2021;POV PrEP;Tik Tok;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;;1549;1609;
12/28/2021;Consulta prep 1519;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;3710;2765;3543;
12/28/2021;Consulta prep 1520;Tik Tok;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;;232;263;
12/30/2021;Vacina HPV e Hepatite;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;3720;1162;2325;
01/02/2022;Não usa camisinha ;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;3717;1811;;
01/02/2022;Não usa camisinha ;Tik Tok;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;;645;1076;
01/03/2022;Julgamento Prep ;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;3715;878;;
01/03/2022;Julgamento Prep ;Tik Tok;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;;559;606;
01/10/2022;Cada um se previne da forma que quer;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;3718;2937;;
01/10/2022;Cada um se previne da forma que quer;Tik Tok;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;;;;
01/12/2022;Dicas de Prevenção ;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;3759;10746;;
01/12/2022;Dicas de Prevenção ;Tik Tok;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;;3729;;
01/17/2022;Transfobia - Trend;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;3758;4283;;
01/17/2022;Transfobia - Trend;Tik Tok;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;;4029;;
01/19/2022;Colocar a cabecinha;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;3768;1001;;
01/19/2022;Colocar a cabecinha;Tik Tok;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;5961;471;;
02/10/2022;Trend - Explicando PrEP;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;3795;1903;;
02/10/2022;Trend - Explicando PrEP;Tik Tok;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;5943;2096;;
02/13/2022;Trend - Suggar Daddy;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;3802;2094;;
02/14/2022;Trend - Suggar Daddy;Tik Tok;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;5941;31;;
02/15/2022;Só transa sem camisinha comigo;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;3799;428;;
02/15/2022;Só transa sem camisinha comigo;Tik Tok;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;5941;32;;
02/18/2022;Preconceito com quem toma PrEP;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;3797;3103;;
02/18/2022;Preconceito com quem toma PrEP;Tik Tok;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;5927;382;;
02/20/2022;Emojis - PrEP;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;3808;649;;
02/20/2022;Emojis - PrEP;Tik Tok;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;5928;334;;
03/02/2022;Repost - Bi x Pan;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;3800;4314;;
03/16/2022;Convite - Resenha Babado ;Tik Tok;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;5915;64;;
03/16/2022;Convite - Resenha Babado ;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;3772;2245;;
03/30/2022;Discussão - Prevenção Combinada;Tik Tok;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;5903;2;;
03/30/2022;Discussão - Prevenção Combinada;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;3774;2880;;
04/01/2022;Festa de Familia - Vivência Trans;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;3783;1912;;
04/11/2022;Insegurança - Trans ;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;3791;3532;;
04/15/2022;Prep 1519;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;3804;1658;;
04/22/2022;Repost - LGBT;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;3835;3616;;
04/26/2022;Repost - Afem;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;3849;2509;;
04/30/2022;Prep apenas para quem transa bastante;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;3865;3152;;
05/06/2022;Quando o boy usa prep;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;3870;3877;;
05/09/2022;Quando o boy usa prep;Tik Tok;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;5953;24;;
05/10/2022;Repost - Rejeição ;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;3876;498;;
05/13/2022;Repost - Brinquedos;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;3871;2273;;
05/23/2022;Repost - Bora Marcar;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;3866;2704;;
05/26/2022;Repost - História Travesti;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;3879;5255;;
05/31/2022;Prep Falante - Camisinha Interna;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;3891;5529;;
05/31/2022;Prep Falante - Camisinha Interna;TikTok;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;5955;3;;
06/04/2022;Repost - Balada Gay x HT;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;3899;4222;;
06/10/2022;Saída do Armário 2 ;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;3910;3617;;
06/18/2022;Pré-Parada;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;3919;1651;;
06/20/2022;Haters da Prep;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;3920;809;;
06/20/2022;Haters da Prep;TikTok;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;5948;38;;
06/26/2022;Fetiche;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;3917;6736;;
07/04/2022;Vamos falar sobre IST - 1;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;3922;3960;;
07/04/2022;Vamos falar sobre IST - 1;Tiktok;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;5952;457;;
07/07/2022;Grindr - Vivência;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;3932;4990;;
07/08/2022;Lubrificantes - 2;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;3935;5481;;
07/13/2022;Grindr - Vivência 2;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;3942;3523;;
07/16/2022;Agradecimento participante do projeto;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;3943;442;;
07/18/2022;Agradecimento participante do projeto;Tiktok;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;5952;190;;
07/18/2022;Amigos criticam a Prep;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;3943;2188;;
07/18/2022;Amigos criticam a Prep;Tiktok;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;5952;268;;
07/20/2022;Repost - Meu pau é maior que o dele ;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;3943;3243;;
07/24/2022;Repost - Dois versáteis;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;3943;3746;;
07/24/2022;Repost - Dois versáteis;Tiktok;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;5952;23;;
07/25/2022;Transição ;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;3939;1877;;
07/25/2022;Transição ;Tiktok;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;5951;239;;
07/28/2022;Hipocrisia - Contra a natureza;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;3940;3415;;
07/28/2022;Hipocrisia - Contra a natureza;Tiktok;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;5951;2374;;
08/16/2022;Todos saindo do armário;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;3941;9947;;
08/19/2022;Na frente da Mãe x Na frente do Pai;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;3942;10785;;
08/22/2022;Repost - Pep depois da Balada ;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;3946;2750;;
08/24/2022;Repost - Duas passivas;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;3949;6819;;
08/26/2022;Camisinha desolada - Prep Falante;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;3950;875;;
08/26/2022;Camisinha desolada - Prep Falante;Tiktok;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;5979;1715;;
08/29/2022;Repost - Aparencia de Hetero;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;3952;5119;;
09/01/2022;Repost - Boy no sigilo;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;3956;1631;;
09/04/2022;Repost -  Esperando o Boy pegar Lub;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;3951;5795;;
09/07/2022;Repost -  Alcool na Balada ;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;3952;1359;;
09/08/2022;Se mamar no carro fosse crime;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;3947;3094;;
09/08/2022;Se mamar no carro fosse crime;Tiktok;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;5966;447;;
09/12/2022;Kit - Set 2022;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;3942;527;;
09/12/2022;Kit - Set 2022;Tiktok;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;5969;175;;
09/18/2022;Repost - Efeito Hormônio ;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;3939;2437;;
09/20/2022;Repost - Mar;;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;3940;5053;;
09/26/2022;Sigilo - Luna ;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;3934;777;;
09/26/2022;Sigilo - Luna ;Tiktok;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;5962;574;;
09/29/2022;Mudança de Voz - Repost;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;3943;908;;
09/30/2022;Locais dos serviços - Luna;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;3948;810;;
10/02/2022;Julgamento Prep 2;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;3953;625;;
10/02/2022;Julgamento Prep 2;Tiktok;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;5961;11;;
10/06/2022;Prevenção Combinada - Luna;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;3957;1744;;
10/06/2022;Prevenção Combinada - Luna;Tiktok;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;5962;1;;
10/07/2022;Não Tomei minha Prep para nada - Repost;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;3953;2931;;
10/10/2022;Locais dos serviços - Luna;Tiktok;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;5961;278;;
10/10/2022;Amiga barraqueira;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;3954;1228;;
10/14/2022;Visão dos homens heteros sobre amigo com namorada trans;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;3948;10789;;
10/20/2022;Esteriótipos LGBTQIA;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;3952;168494;;
10/26/2022;Amigas sumiram com boy;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;4016;1612;;
11/03/2022;Jeffrey Dammer - Trend;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;4055;2019;;
11/05/2022;Mas eu gosto assim - Trend;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;4070;1385;;
11/05/2022;Mas eu gosto assim - Trend;Tiktok;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;5954;1605;;
11/06/2022;Repost - Gabriela Roran 2;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;4080;1885;;
11/10/2022;Vivência Bissexual ;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;Férias;2854;;
11/13/2022;Hormônio Luna;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;Férias;885;;
11/15/2022;Repost - Tatuagem nas Costas;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;Férias;2371;;
11/17/2022;Tomou PrEP atoa - Luna;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;Férias;1505;;
11/17/2022;Tomou PrEP atoa - Luna;Tiktok;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;Férias;860;;
11/26/2022;Tudo lembra elu;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;4402;4584;;
11/26/2022;Tudo lembra elu;Tiktok;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;5949;221;;
11/28/2022;Saúde Mental - Prostituição;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;4420;2090;;
12/05/2022;Informativo - Prep Sob Demanda;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;4470;845;;
12/05/2022;Informativo - Prep Sob Demanda;Tiktok;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;5951;292;;
12/06/2022;Meme - Banana;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;4478;1164;;
12/08/2022;Meme - Luna;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;4490;2233;;
12/08/2022;Meme - Luna;Tiktok;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;5945;581;;
12/13/2022;Contato com participantes - Luna;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;4489;830;;
12/13/2022;Contato com participantes - Luna;Tiktok;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;5944;179;;
12/16/2022;Atv goza primeiro ;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;4485;3605;;
12/22/2022;Prep - viagem;Tiktok;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;Recesso ;220;;
12/22/2022;Prep - viagem;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;Recesso ;912;;
12/23/2022;Ele n te quer - Repost;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;Recesso ;5395;;
12/24/2022;Esperando às 2h da prep  - Repost;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;Recesso ;805;;
12/24/2022;Esperando às 2h da prep  - Repost;Tiktok;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;Recesso ;208;;
12/25/2022;Transição - Repost;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;Recesso ;2716;;
12/29/2022;Poder de Escolha ;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;Recesso ;2320;;
12/29/2022;Poder de Escolha ;Tiktok;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;Recesso ;;;
01/03/2023;Banheirão - Repost;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;4470;3908;;
01/07/2023;Efeitos Colaterais da PrEP;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;4467;2201;;
01/07/2023;Efeitos Colaterais da PrEP;Tiktok;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;5946;253;;
01/08/2023;Mês da Visibilidade Trans - Repost;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;4461;631;;
01/10/2023;Meme - Impulsividade - Repost;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;4459;2530;;
01/12/2023;Truque na consulta;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;4456;817;;
01/12/2023;Truque na consulta;Tiktok;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;5947;761;;
01/16/2023;Pass e Atv na balada;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;4462;21313;;
01/17/2023;Pep - Luna;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;4467;939;;
01/17/2023;Pep - Luna;Tiktok;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;5947;259;;
01/21/2023;Amigos - Repost;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;4478;1179;;
01/23/2023;PrEP Sob Demanda - Luna;Tiktok;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;5939;238;;
01/23/2023;PrEP Sob Demanda - Luna;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;4484;407;;
01/25/2023;Brenda Lee;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;4486;497;;
01/30/2023;Visibilidade Trans - Respost;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;4486;577;;
;;;;;;;;;;
;2º Fervo 1519 com participantes com Maia, Ika e Audre;Zoom ;Zoom;Não foi ofertada testagem;Coletiva;;;;;
;Halloween Party;Av.Ragueb Chohfi, 5900;Aberto e pago;Autoteste;Coletiva;;700;700;;700
;;;;;Coletiva;;;;;
;;;;;Coletiva;;;;;
;;;;;Coletiva;;;;;
;;;;;;;;;;
;;;;;;;1272181;850459;810191;16
;;;;;;;;;;
;;;;;;;1272181;;;
;;;;;;;;;;
;;;;;;facebook;;2183;2339;
