Data;Nome do evento;Local;Tipo de evento;Tipo de testagem;Tipo de Intervenção;Tamanho estimado (faixa);Tamanho estimado (numero inteiro);no. de pessoas que pegaram o contato (publico de interesse);12/31/2021;nº de pessoas de deram o contatos (público de interesse)
03/08/2020;Sem Evento;Masp;Aberto e gratuito;Não foi ofertada testagem;individual;;5000;3;;17
03/15/2020;Sem evento;Masp;Aberto e gratuito;Não foi ofertada testagem;individual;;3000;0;;0
04/17/2020;Ansiedade na Quarentena;Instagram;IGTV;Não foi ofertada testagem;Coletiva;;980;194;203;0
04/18/2020;Arte LGBT;Instagram;Live;Não foi ofertada testagem;Coletiva;;984;-;Não consta no insta;0
04/19/2020;PrEP e PEP com Dr. Maravilha;Instagram;Live;Não foi ofertada testagem;Coletiva;;73184;600;Não consta no insta;
04/23/2020;Sexo e o Covid19 com Matuzza;Instagram;Live;Não foi ofertada testagem;Coletiva;;5215;-;Não consta no insta;
04/24/2020;Aula de Vogue com Zaila Barbosa;Instagram;Live;Não foi ofertada testagem;Coletiva;;100;;Não consta no insta;
04/25/2020;Ansiedade na Quarentena 2;Instagram;IGTV;Não foi ofertada testagem;Coletiva;;1008;119;134;
04/27/2020;Para rebolar a raba em casa;Spotify;Playlist;Não foi ofertada testagem;Coletiva;;1;11;12;
04/30/2020;Masturbação com Raulley;Instagram;Live;Não foi ofertada testagem;Coletiva;;1007;-;Não consta no insta;
05/01/2020;Fetiches com Guilhermina;Instagram;Live;Não foi ofertada testagem;Coletiva;;1010;-;Não consta no insta;
05/02/2020;Ansiedade na Quarentena 3;Instagram;IGTV;Não foi ofertada testagem;Coletiva;;1015;92;101;
05/22/2020;Comunicação LGBTQ+ com Icaro;Instagram;Live;Não foi ofertada testagem;Coletiva;;3290;100;125;
05/30/2020;Hormonização;Instagram;IGTV;Não foi ofertada testagem;Coletiva;;1035;204;224;
05/31/2020;Arte LGBT;Instagram;Live;Não foi ofertada testagem;Coletiva;;43350;500;104;
06/07/2020;Transfobia em espaços de saúde;Instagram;IGTV;Não foi ofertada testagem;Coletiva;;1045;122;156;
06/19/2020;Projeto PrEP1519 - Audre, André e Luiz;Spotify;Podcast;Não foi ofertada testagem;Coletiva;;7;8;24;
06/22/2020;História LGBT+ com Audre e Magô;Instagram;Live;Não foi ofertada testagem;Coletiva;;15080;52;Não consta no insta;
06/22/2020;Abertura Semana LGBTQ+;Instagram;Live;Não foi ofertada testagem;Coletiva;;3350;187;Não consta no insta;
06/23/2020;Pessoas Vivendo com HIV;Instagram;Live;Não foi ofertada testagem;Coletiva;;1093;;Não consta no insta;
07/04/2020;Vivência Trans e Travesti na Quarentena Ep.01 - Ika e Audre;Instagram;IGTV;Não foi ofertada testagem;Coletiva;;1120;346;446;
