Data;Perfil;Início;Término;Total (em horas);Região;Bairro;Contatos receptivos;Nº de respostas aos contatos receptivos;Contatos ativos;Nº de pessoas que responderam ao contato ativo;Nº total de pessoas que responderam ao contato ativo e receptivo;Nº total de pessoas que interagiram;Nº total de HSH/ Trans & 15-19 identificadas;Nº de agendados;Observação;Visto Coordenação;Falhas identificadas
10/15/2020;Instagram;11:00:00 AM;04:00:00 PM;05:00:00 AM;GSP;;0;0;0;0;0;0;0;0;Recrutamento no Instagram. Encaminhamento de Kawan Camara Borges para que Eduardo faça contato por Whatsapp;;
10/16/2020;Instagram;12:00:00 PM;04:00:00 PM;04:00:00 AM;GSP;;0;0;0;0;0;0;0;0;Kawan agendado pelo Eduardo, a navegação será feita pelo Yuri. ;;
10/19/2020;Instagram;02:30:00 PM;06:00:00 PM;03:30:00 AM;GSP;;4;4;0;0;4;4;4;1;"Agendamento de Gabriel Barboza; Atualização da planilha de trabalho. ";;
10/22/2020;Instagram;01:00:00 PM;07:30:00 PM;06:30:00 AM;GSP;;6;6;0;0;6;6;6;1;Gravação do vídeo no CTA (até às 17h) e depois Recrutamento no IG Polonia agendada e Renan encaminhado para receber kit;;
10/23/2020;Instagram;12:00:00 PM;04:00:00 PM;04:00:00 AM;GSP;;0;0;0;0;0;0;0;0;;;
10/27/2020;Instagram;01:00:00 PM;04:30:00 PM;03:30:00 AM;GSP;;0;0;0;0;0;0;0;0;;;
10/28/2020;Instagram;12:00:00 PM;03:00:00 PM;03:00:00 AM;GSP;;0;0;0;0;0;0;0;0;;;
10/29/2020;Instagram;11:00:00 AM;04:00:00 PM;05:00:00 AM;GSP;;0;0;0;0;0;0;0;0;;;
10/30/2020;Feriado/Intervenção Coletiva;09:00:00 PM;10:00:00 PM;01:00:00 AM;;;;;;;0;;;;;;
11/03/2020;Reuniões;01:00:00 PM;06:00:00 PM;05:00:00 AM;;;;;;;0;;;;;;
11/04/2020;Instagram;11:00:00 AM;02:00:00 PM;03:00:00 AM;GSP;;0;0;0;0;0;0;0;0;;;
11/09/2020;Instagram;04:00:00 PM;08:00:00 PM;04:00:00 AM;GSP;;0;0;0;0;0;0;0;0;Reunião de Intervenção Coletiva e Recrutamento no Instagram;;
11/10/2020;Instagram;01:00:00 PM;05:00:00 PM;04:00:00 AM;GSP;;0;0;0;0;0;0;0;0;Reunião de Educadories e Organização do processo de trabalho, bem como recrutamento no instagram;;
11/11/2020;Instagram;02:00:00 PM;06:30:00 PM;04:30:00 AM;GSP;;0;0;0;0;0;0;0;0;Recrutamento no Instagram, Reunião Intervenção Coletiva e Organização do Processo de Trabalho;;
11/13/2020;Instagram;11:30:00 AM;03:00:00 PM;03:30:00 AM;GSP;;2;2;0;0;2;4;1;0;Processo de recrutamento no Instagram ;;
11/16/2020;Instagram;04:00:00 PM;07:30:00 PM;03:30:00 AM;GSP;;2;2;3;0;2;2;0;1;Reagendamento da Polônia. Planilha Twitter e Processo de Trabalho do grupo de whatsapp ;;
11/17/2020;Instagram;01:00:00 PM;04:45:00 PM;03:45:00 AM;GSP;;;;;;0;;0;0;Reuniões de Educadories Par e de Comunicação, bem como Recrutamento no Instagram. ;;
11/18/2020;Instagram;12:00:00 PM;04:30:00 PM;04:30:00 AM;GSP;;0;0;0;0;0;2;1;1;Agendamento de Robert Fragas e  Reunião de Intervenção coletiva.;;
11/19/2020;Instagram;01:00:00 PM;05:20:00 PM;04:20:00 AM;GSP;;0;0;0;0;0;0;0;0;Início da produção de manual de contato ativo. ;;
11/20/2020;Instagram;12:00:00 PM;03:00:00 PM;03:00:00 AM;GSP;;0;0;0;0;0;1;0;0;Resposta à Polônia, e continuação do manual de contato ativo.;;
11/23/2020;Instagram;04:00:00 PM;08:00:00 PM;04:00:00 AM;GSP;;2;2;0;0;2;2;0;0;;;
11/24/2020;Instagram;10:00:00 AM;04:00:00 PM;06:00:00 AM;GSP;;2;2;0;0;2;2;0;0;Recrutamento no Instagram das 10h às 11h30, então reunião de educadores par e formativa/educação permanente das 13h às 15h;;
11/25/2020;Instagram;12:00:00 PM;05:30:00 PM;05:30:00 AM;GSP;;1;1;0;0;1;0;0;0;Recrutamento no Instagram, produção do manual de contato ativo e reunião de intervenção coletiva com Audre e Paola. ;;
11/26/2020;Instagram;01:00:00 PM;04:30:00 PM;03:30:00 AM;GSP;;0;0;2;0;0;3;0;0;"Recrutamento no Instagram e produção do manual de contato ativo. Palei com duas pessoas ""
yasmin_genf"" e ""mxr.celoo""";;
11/27/2020;Instagram;11:30:00 AM;03:00:00 PM;03:30:00 AM;GSP;;;;;;0;;;;;;
12/01/2020;Instagram;01:00:00 PM;05:30:00 PM;04:30:00 AM;GSP;;1;1;0;0;1;2;1;0;"Uma pessoa em processo de agrendamento; Reunião de comunicação";;
12/02/2020;Instagram;12:00:00 PM;04:00:00 PM;04:00:00 AM;GSP;;2;2;0;0;2;3;1;1;Envio de kit;;
