ATIVIDADE;CATEGORIA;SUBCATEGORIA;DATA;ANO;VALOR;CHATBOT;DATING APPS;SOCIAL MEDIA;SOCIALIZATION PLACES;NGOS;DIRECT REFERRALS;;;COMENTÁRIOS;RECURSO;DESPESA
Perfomancer ;Personnel;LGBTQIA + artists and speakers;21/06/2019 a 21/06/2019;2019;200;200;0;0;0;0;0;;;;Amanda Selfie;Festa de lançamento (Pajubá, bottons, alpha grafics, autonomos pagos para palestra, roupa da Amanda e performance Amanda, bolsa Lucas Raniel assessor de impressa)
Palestrante;Personnel;LGBTQIA + artists and speakers;27/11/2020 a 27/11/2020;2020;160;0;0;0;160;0;0;;;insta;Intervenção Coletiva centro outubro 2019-jun 2021 virtual (instagram, grindr);Artistas contratados 
Assessor de imprensa;Personnel;Press officer;13/05/2019 a 13/06/2019;2019;5362;5362;0;0;0;0;0;;;;Amanda Selfie;Festa de lançamento (Pajubá, bottons, alpha grafics, autonomos pagos para palestra, roupa da Amanda e performance Amanda, bolsa Lucas Raniel assessor de impressa)
Palestrante;Personnel;LGBTQIA + artists and speakers;21/06/2019 a 21/06/2019;2019;600;600;0;0;0;0;0;;;;Amanda Selfie;Festa de lançamento (Pajubá, bottons, alpha grafics, autonomos pagos para palestra, roupa da Amanda e performance Amanda, bolsa Lucas Raniel assessor de impressa)
Palestrante;Personnel;LGBTQIA + artists and speakers;22/01/2021 a 22/01/2021;2021;160;160;0;0;0;0;0;;;facebook;Intervenção na Cidade Tiradentes outubro 2020-junho 2021;Artistas contratados 
Ilustradora;Personnel;Illustrator;01/05/2019 a 31/05/2019;2019;3200;533.333333333333;533.333333333333;533.333333333333;533.333333333333;533.333333333333;533.333333333333;;;todas;Amanda Selfie;Ilustradora (Lucy)
Ilustradora;Personnel;Illustrator;01/07/2019 a 31/07/2019;2019;600;100;100;100;100;100;100;;;todas;Amanda Selfie;Ilustradora (Lucy)
Ilustradora;Personnel;Illustrator;01/08/2019 a 30/08/2019;2019;2200;366.666666666667;366.666666666667;366.666666666667;366.666666666667;366.666666666667;366.666666666667;;;todas;Amanda Selfie;Ilustradora (Lucy)
Ilustradora;Personnel;Illustrator;01/09/2019 a 31/09/2019;2019;2200;366.666666666667;366.666666666667;366.666666666667;366.666666666667;366.666666666667;366.666666666667;;;todas;Amanda Selfie;Ilustradora (Lucy)
Ilustradora;Personnel;Illustrator;01/10/2019 a 30/10/2019;2019;600;100;100;100;100;100;100;;;todas;Amanda Selfie;Ilustradora (Lucy)
Ilustradora;Personnel;Illustrator;01/12/2019 a 31/12/2019;2019;600;100;100;100;100;100;100;;;todas;Amanda Selfie;Ilustradora (Lucy)
Palestrante;Personnel;LGBTQIA + artists and speakers;08/12/2020 a 08/12/2020;2020;264;44;44;44;44;44;44;;;Todas;;
Palestrante;Personnel;LGBTQIA + artists and speakers;23/02/2021 a 23/02/2021;2021;264;44;44;44;44;44;44;;;todas;;
Testagem na rua;Personnel;Recruitment agent and peer-educators;01/04/2019 a 30/04/2019;2019;500;0;0;0;500;0;0;;;sociab;;
Agente jovem de rua;Personnel;Recruitment agent and peer-educators;10/05/2019 a 18/05/2019;2019;300;0;0;0;300;0;0;;;;Intervenção Coletiva centro 2019- março 2020 presencial ;Equipe (Audre, Nelsom, wand, José vargas, 
