Type of cost;Costing items class;Description of costing item;"Chatbot strategy
(10 participants)";"Dating apps strategy 
(262 participants)";"Social media strategy
(59 participants)";"Socialization places strategy
(34 participants)";"NGOs strategy
(17 participants)";"Direct referrals strategy
(116 participants)"
Fixed cost;IT equipment;Laptop;1195.744583;1195.744583;1195.744583;1195.744583;1195.744583;1195.744583
Fixed cost;IT equipment;Modem;0;0;0;0;0;0
Fixed cost;IT equipment;SIM cards;0;0;0;0;0;0
Fixed cost;IT equipment;Smartphone;97.87763283;97.87763283;97.87763283;97.87763283;97.87763283;97.87763283
Fixed cost;IT equipment;Speaker;0;0;0;0;0;0
Fixed cost;IT equipment;Tablet;197.5596749;197.5596749;197.5596749;197.5596749;197.5596749;197.5596749
Fixed cost;Amanda Selfie;Development;110189.2557;0;0;0;0;0
Fixed cost;Amanda Selfie;Hosting;0;0;0;0;0;0
Fixed cost;Amanda Selfie;Improvement;25936.85556;0;0;0;0;0
Fixed cost;Amanda Selfie;Migration;0;0;0;0;0;0
Variable cost;Personnel;Content production;635.7072442;0;1059.512074;2224.975355;0;0
Variable cost;Personnel;Counselor/nurse;529.7560368;0;0;0;44499.50709;0
Variable cost;Personnel;Graphic designer;909.4145299;379.6584931;379.6584931;379.6584931;379.6584931;379.6584931
Variable cost;Personnel;Illustrator;2264.530472;2264.530472;2264.530472;2264.530472;2264.530472;2264.530472
Variable cost;Personnel;Language analyst;17132.74463;0;0;0;0;0
Variable cost;Personnel;LGBTQIA + artists and speakers;1858.956314;375.6394106;375.6394106;1858.956314;375.6394106;375.6394106
Variable cost;Personnel;Marketing;22011.36333;953.5608663;4132.097087;953.5608663;953.5608663;15813.2177
Variable cost;Personnel;Photographer;847.609659;0;0;317.8536221;0;0
Variable cost;Personnel;Press officer;5681.103739;0;0;0;0;0
Variable cost;Personnel;Prevention agent;0;0;0;12396.29126;0;0
Variable cost;Personnel;Receptionist;0;0;0;0;0;5840.475545
Variable cost;Personnel;Recruitment agent and peer-educators;0;1191.951083;1191.951083;8992.757057;0;0
Variable cost;Personnel;Seamstress;158.9268111;0;0;0;0;0
Variable cost;Personnel;Technical support;463.5330005;463.5330005;463.5330005;463.5330005;463.5330005;1538.937755
Variable cost;Personnel;Writer;0;0;0;22260.34867;0;0
Variable cost;Materials and tests;Condom;0.2260292424;0;0.6780877272;1.582204697;0;0.4520584848
Variable cost;Materials and tests;Disposable enema;3.884877604;0;11.65463281;27.19414322;0;7.769755207
Variable cost;Materials and tests;Lubricant;0.1130146212;0;0.3390438636;0.7911023484;0;0.2260292424
Variable cost;Materials and tests;Promotional material;2325.629002;155.3951041;155.3951041;4218.094151;0;338.7048197
Variable cost;Materials and tests;Testing;24.58068011;0;73.74204033;172.0647608;0;49.16136022
Variable cost;Transportation and dispatch;Transportation;0;0;0;58.15661772;0;0
Variable cost;Transportation and dispatch;Dispatch;0;0;0;1005.900763;0;0
Variable cost;Subscriptions and boosts;Social media;0;0;0;0;0;0
Variable cost;Subscriptions and boosts;Office suite;100.123891;100.123891;100.123891;100.123891;100.123891;100.123891
Variable cost;Subscriptions and boosts;Phone plan;0;0;0;0;0;0
